,sentences,class
0,Hi,0
27,Namaskar,0
145,"The Institute Timings are as follows:
 College Timings: 8:00am to 4:00pm (First Shift), 11:15am to 6:45pm (Second Shift)
 Office Timings:
 A-Block Vice Principal's Office 10:30am to 11:15am (Monday to Friday)
 A-Block Registrar's Office 3:00 to 5:30pm (Monday to Friday), 10:00am to 4:00pm (Saturday)
 B Block Exam Cell 1:15pm to 1:45pm (Monday to Friday)
 M Block Training & Placement 1:15pm to 1:45pm (Monday to Friday)
 Library Timings: 9:00am to 5:00pm
 Reading Hall Timings:8:00am to 8:00pm
 Computer Centre: 9:00am to 8:00pm
 Stationary: 10:00am to 5:00pm
 Cafeteria: 8:00am to 7:00pm",3
248,what are the weekly functions or interesting events planned by the college,5
104,are students ragging safe in Vidyalankar Institute of Technology,2
243,what is the name of our annual fest,5
97,what to wear in the college,2
130,when does the college open,3
79,how to reach the college campus,1
266,"Verve, our Inter-College annual festival brings in the fervor, zeal, enthusiasm in the campus where real talent is highlighted. The Student Activity Centre offers a place for students to organise and plan activities at various levels.",5
238,what are the different activities conducted to make the college life eventful,5
285,Yasou,6
227,"The Institute Cafeteria offers an extensive menu comprising a variety of sumptous South Indian, North Indian, Chinese and Continental food in a comfortable eating environment. The Cafe Coffee Day corner offers grab - n - go items such as sandwiches, puffs, soups noodles, cold coffees and hot teas. Utmost care is taken to maintain cleanliness. Canteen Timings, Open: Monday to Saturday 8:00am to 7:00pm",4
95,what is VIT's dress code,2
72,quality policies followed by the institute,1
167,technical literacy facilities for computer engineering,4
191,do parents receive notifications from the college,4
80,how can VIT be reached,1
82,various travel routes to the college campus,1
255,what are the different student chapters in the college,5
50,does VIT have on-campus college placements,1
166,software developemtn facilities,4
288,Namaste!,6
290,I'm not getting this! I'm so sorry! Please try asking in some other manner.,6
86,Check the website for Placements related information.,1
263,VIT has always encouraged students to give expressions to their talents and creativities by organising cultural and sports related activities in the college. The Student Council manages the activities under the guidance of the Conveners. The Institute has indoor as well as outdoor sports facilities with 2 playgrounds available in the campus.,5
277,Bubye! Have a nice day,6
23,"Hello, who is your creator",0
201,are there hostels provided by the college,4
118,various post graduate engineering programmes in the college,3
222,"The Institute provides Internet Wifi serivces in the campus, to the students as well as the professors.",4
39,People call me InBOT,0
206,are there necessary helplines for physcally challenged,4
74,quality policies which are followed by Vidyalankar Institute of Technology,1
229,VIT has a stationary outlet managed under contract where various stationary items are available. Pricing is reviewed and approved by the Institute authority. Students can also avail photocopying facility here.,4
114,what are the different subject branches offered by VIT,3
34,Hello!,0
44,I'm not getting this! I'm so sorry! Please try asking in some other manner.,0
274,Good Bye!,6
220,"Library Norms / Rules are as follows:
UG and PG students will be issued 5 books for 45 days as per availability.
Library hours are: 9:00am to 5:00pm.
Reading Hall hours are: 8:00am to 8:00pm.
 Late fees of Rs. 5.00 per book per day for delay in returning.",4
66,vision behind starting VIT,1
126,what are the institue timings,3
13,Namaste,0
90,"The Mascot of Vidyalankar Institue of Technology is a Bull, which denotes strength, power, force, and the ability to move ahead with determination.",1
93,I'm not getting this! I'm so sorry! Please try asking in some other manner.,1
89,"The Vision of Vidyalankar Institute of Technology is to become a globally recognized institute where learners are nurtured in a scholarly environment to evolve into competent professionals and researches to benefit the society. The Mission of Vidyalankar Institute of Technology is to evole a curriculum which emphasizes on strong fundamentals with the flexibility to choose advanced courses of interest and gain exposure to tools and techniques in contemporary subjects. The Values that the institute imparts are namely Honesty, Responsibility, Integrity, Committment, Excellence, and Salubrious Attitude.",1
