,sentences,class
0,Hi,0
1,Hello,0
2,"hey, whats up!",0
3,Hey how you doing,0
4,HI chatbot,0
5,Hi whats you name,0
6,Hello! what is your name?,0
7,Is there any name by which people call you?,0
8,Good morning,0
9,Good evening,0
10,Heyaaa,0
11,Hola,0
12,Guten Tag,0
13,Namaste,0
14,Hi buddy,0
15,Helloooo,0
16,what's up man,0
17,hey computer,0
18,hi boy,0
19,Hi! What is your name?,0
20,Hey what do people call you?,0
21,Introduce yourself,0
22,Who created you?,0
23,"Hello, who is your creator",0
24,who made you,0
25,Marhaba,0
26,Namaskar,0
27,Ni hao,0
28,Bonjour,0
29,Yasou,0
30,Salve,0
31,konnichiwa,0
32,Assalamo aleikum,0
33,Hello!,0
34,Hi! I hope you are in a good health!,0
35,Namaste! How may I help you,0
36,I am doing good! How may I help you?,0
37,My name is InBOT! I am the Induction BOT,0
38,People call me InBOT,0
39,"I am known as InBOT, the Induction Bot",0
40,"Everyone knows me by my name and my name is BOT, InBOT",0
41,"My creators are VIT engineers Ritika, Mrudual, Dishant, and Parth",0
42,"Dishant, Parth, Mrudula, and Ritika have created me!",0
43,"Do you know Dishant, Ritika, Mrudula, and Parth? These VIT engineers have designed and created me!",0
44,I'm not getting this! I'm so sorry! Please try asking in some other manner.,0
45,Give an overview about the college,1
46,How is the college,1
47,Tell something about Vidyalankar Institute of Technology,1
48,Give basic information about VIT,1
49,When was our college founded,1
50,Who is the founder of our college,1
51,Who is the founder of VIT,1
52,Who founded VIT,1
53,who laid college's foundation stone,1
54,what is the basic objective of starting this institute,1
55,objective of laying institutes's foundation,1
56,thought behind starting this Vidyalankar Institute of Technology,1
57,idea behind VIT,1
58,Ideas behind starting this college,1
59,what is the vision of the college,1
60,what are the values embibed by the college,1
61,vision behind starting VIT,1
62,college's missions,1
63,Mission of the college,1
64,who is the college's mascot,1
65,what is VIT's mascot,1
66,mascot of Vidyalankar Institute of Technology,1
67,quality policies followed by the institute,1
68,policies which VIT follows,1
69,quality policies which are followed by Vidyalankar Institute of Technology,1
70,where is the campus located,1
71,what is the address of the college,1
72,where is location of Vidyalankar Institute of Technology,1
73,where is VIT located,1
74,how to reach the college campus,1
75,how can VIT be reached,1
76,how to travel to the college,1
77,various travel routes to the college campus,1
78,nearby landmarks close to college,1
79,neighbourhood landmarks around Vidyalankar Institute of TEchnology,1
80,neighboring buildings and landmarks near the college campus,1
81,Vidyalankar Institute of Technology was established in the year 1999 after having secured permission from AICTE and Mumbai University. It was founded by Prof. C. S.Deshpande whose illustrious educational careen and missionary zeal continue to inspire everyone.,1
82,"The basic objective of starting this institute was to satisfy the inner urge of the founder to guide eager younger minds in appropriate direction and immbibenobler values of life, thereby enhancing their worthiness.",1
